tra_id,amount_eur
102354,5.99
196974,9.99
33330,45.00
78071,17.90
214317,174.14
29196,15.00
46438,9.00
121863,0.61
242938,1.00
171147,3.76
208821,1.00
43918,25.41
243753,148.85
235181,338.00
44105,9.99
22595,14.95
274793,40.66
65946,70.65
221241,76.00
174220,8.49
212796,28.56
72142,32.98
987,29.33
273428,80.77
49393,1367.21
82360,6.02
249286,0.12
59248,8.98
244783,1417.29
102517,80.25
16615,5.52
254203,216.18
173671,77.57
45672,4.49
162763,40.48
98597,4.85
14226,9.99
32031,18.27
152172,9.99
112972,56.00
240608,13.87
153128,2.30
54864,0.89
29836,627.68
165250,10.00
199773,15.00
161414,14.55
49811,59.99
138251,29.99
66701,303.24
224326,3.99
120509,79.00
267832,1.49
205185,3.87
65340,8.00
154884,0.00
255894,9.95
273432,1.00
86418,10.00
32845,7.70
247324,38.21
225400,25.48
73309,975.00
175317,9.99
68302,13.84
242311,229.70
129550,15.60
54879,5.89
43393,4.49
236707,79.95
216629,143.01
53901,30.21
146971,15.09
238193,17.03
79820,3.78
281409,0.89
220702,1134.03
117719,12.57
5087,638.90
239971,161.93
226110,59.00
13277,15.00
33569,6.42
127970,13.37
124072,1.29
189065,1.00
200292,248.90
194213,5.00
205582,1.34
20353,203.85
138379,50.00
263084,1.00
138344,3.85
93626,21.48
8938,833.02
4528,6.36
115055,98.88
163173,28.90
215552,231.45
207700,7.38
189626,14.60
96652,12.70
76685,11.85
84813,6.00
197621,92.75
56570,173.00
94524,40.00
167991,0.76
223339,28.50
105762,4.99
282156,331.70
230586,19.74
155431,0.77
45583,151.71
80144,8.95
134835,1.79
274439,5.49
130157,39.95
48206,0.00
16078,165.10
272134,118.00
155818,7.75
211242,1.78
283174,9.99
250685,3.80
183725,60.23
41,1.00
190061,0.89
1493,7.80
141021,31.29
169510,10.00
171444,64.99
259028,1.00
66445,113.01
69061,158.00
234279,89.96
218740,25.00
57028,9.03
259695,46.80
186757,0.89
274822,47.89
189885,400.70
240791,5.00
110,106.82
165652,22.08
166653,36.01
112666,29.99
30437,50.00
126973,512.52
45566,162.00
186301,1.00
82774,30.00
129410,5.00
12169,61.95
270469,22.95
475,7.30
256505,30.34
40325,24.41
40274,19.09
121073,45.30
181790,10.00
83883,1.49
72816,20.64
99702,25.00
174097,6.30
255733,5.99
216575,29.00
123360,11.34
12508,10.59
117260,11.50
180663,7.00
177889,282.00
122736,0.00
28982,1.00
65353,9.99
217044,69.30
103053,0.99
88675,9.72
151475,13.95
82734,103.50
232382,1.00
271832,21.95
251636,33.75
103665,429.90
47401,14.90
19521,146.40
174918,53.70
277482,61.83
97486,5.00
138978,0.12
147150,99.00
29412,45.00
264020,9.90
69452,1.29
186653,1.00
232907,9.99
65411,21.03
268236,19.00
7314,72.00
205401,31.00
71685,2.92
109262,68.41
126214,51.59
28401,5.32
282259,17.92
42245,183.58
169879,174.95
204346,2.66
76380,11.50
164403,211.03
238418,50.00
167234,385.03
158834,92.49
2541,1020.00
6895,12.99
55183,39.95
162118,1666.40
232072,23.00
235778,70.45
245774,41.95
106529,28.80
22033,9.99
59024,1.29
154865,29.95
281469,89.80
89804,5.00
120404,36.46
266229,42.81
214390,1.29
256517,124.11
20228,11.24
192203,105.40
242865,49.00
97768,50.00
183765,5.99
265496,7.80
26294,10.99
180717,2.69
174145,10.30
32914,72.00
159897,88.20
45925,49.99
69178,87.80
246072,190.00
75171,10.74
38720,1.79
263647,287.00
23759,177.60
90298,16.95
71588,279.46
90887,23.12
27163,24.95
69671,1.50
260066,53.82
65209,291.26
169816,742.26
63716,133.80
68706,45.00
52969,0.76
107800,30.80
127337,3152.32
70191,39.90
91311,10.00
69240,1.00
228621,35.99
86722,135.00
207234,72.28
39365,5.99
17169,0.99
177069,6.99
30886,1.79
249774,440.67
8137,1.98
22798,70.56
170218,172.00
241244,50.00
219092,24.95
100751,40.00
45265,7.48
64295,7.10
252287,1.98
188365,18.35
186879,14.95
125508,22.40
121141,35.00
54988,67.00
197807,19.38
225884,28.85
168059,74.99
195895,10.50
201106,41.83
186973,188.95
38104,24.99
84256,5.49
247323,6.83
51106,19.99
195870,83.95
187479,15.00
34613,106.80
61831,1512.52
83986,19.88
242559,8.51
41646,2.69
10671,200.93
135837,63.25
190525,3.79
274900,20.00
207156,438.90
110963,142.76
43642,0.89
180178,445.00
248212,5.00
282705,19.75
199122,28.93
215864,222.21
245229,284.14
176002,50.00
224359,1.52
258920,9.99
278649,247.56
70626,19.99
134576,3.65
60137,7.56
160968,29.47
229573,0.92
51156,54.99
253354,182.29
213683,1.00
51752,15.95
217398,110.99
106774,84.90
277118,10.00
219545,30.00
27779,85.52
124761,2.05
120665,4.49
107914,2.15
193569,1.00
72729,54.54
20059,54.95
75283,120.32
180507,30.84
187108,2.89
65178,209.37
195701,13.75
235105,1548.98
259234,45.00
85031,105.95
239897,0.99
80805,10.00
202203,1.00
74119,1.00
134894,25.03
214527,9.28
269633,1.95
12296,5.40
178851,9.86
155416,14.40
121857,1.00
410,32.92
100143,156.90
66848,73.78
118699,4.06
237920,1.84
216760,20.00
227601,14.90
193970,204.90
34540,27.95
25963,50.00
147733,358.00
85004,11.50
224784,15.88
265053,28.41
256465,39.99
136354,17.46
46274,50.00
182009,47.75
82608,60.00
199313,9.99
248934,3.59
81109,54.90
80209,0.82
121912,16.96
100429,36.83
90430,29.99
58802,6.70
65594,2.28
68225,0.89
218410,28.75
211893,226.00
122966,4.32
229960,804.00
85225,7.00
172948,1.00
246040,219.00
216967,112.78
168006,1.60
263731,34.00
271678,29.99
194313,31.57
218004,11.99
179563,1.00
31386,34.39
192797,2.49
11410,614.98
248838,17.00
229564,295.00
23775,8.91
262209,226.18
182073,112.05
246700,1.98
36241,7.56
194071,380.00
270874,245.67
87659,8.09
277310,10.00
91428,67.51
200517,27.68
134637,10.00
172748,0.99
4691,0.89
93140,42.10
125305,5.99
170475,14.90
89661,57.55
124145,101.89
177463,12.89
25563,388.00
114072,122.00
169653,69.45
255972,26.00
262299,0.99
249901,11.50
270558,37.99
20255,39.96
114042,47.90
14169,1.00
196079,19.99
74132,42.81
250190,14.90
84625,34.99
196359,290.89
170469,60.00
204631,48.83
141012,6.70
206105,2.37
36336,195.00
279120,116.69
208072,12.99
5711,19.20
268175,198.00
100174,13.75
253155,226.62
101004,7.63
175807,178.00
48291,2.24
135453,45.00
268435,30.00
63995,10.94
241203,89.00
159760,15.00
174550,99.99
175946,28.50
192809,0.99
241205,1.00
161714,195.00
158740,11.00
260852,2.00
180317,28.75
93378,62.00
77113,2.69
196812,3.87
2809,177.00
195471,86.70
139950,35.00
257599,158.00
261275,74.99
175995,10.99
111649,25.00
250735,59.90
171727,133.85
154048,59.44
31679,3.68
3781,234.66
271534,306.95
179619,4.99
283105,1.00
120280,45.49
3666,19.01
49712,1.29
214648,42.81
235648,2.67
264112,1.00
191395,42.80
188959,33.44
201803,29.00
43681,1.79
9175,28.91
261803,70.00
248237,15.00
135863,28.81
43940,1.00
161060,49.99
258426,10.00
130637,15.00
279788,103.98
250955,8.00
115460,120.40
175724,34.00
214998,320.53
167440,54.16
3463,24.99
58837,1.98
217717,190.32
75364,39.00
151828,58.00
179264,19.35
64799,1.50
253733,5.00
275125,379.63
80476,0.77
141282,1.00
141791,6.90
207557,300.00
119019,1.00
185931,0.76
63849,20.85
276987,205.80
16798,74.99
155720,0.89
143546,111.75
74515,114.00
283915,32.00
209752,29.95
113329,35.00
198188,1.98
152664,10.00
153362,32.00
80542,12.50
217755,534.60
190215,15.00
204383,0.89
164707,1.00
214253,1.98
5645,20.19
165444,8.80
109702,1.79
121580,39.00
225666,1.00
158019,53.00
45457,0.01
128193,159.21
244732,39.99
61810,3.49
264562,0.76
6910,90.82
253659,15.00
91809,22.70
7508,9.99
110266,190.10
208760,50.00
73936,99.00
134150,0.89
200332,3.73
29778,31.55
226586,19.90
37649,23.59
242092,7.98
275605,11.38
136021,0.01
61209,1.00
233759,145.61
221205,4.47
168808,3.78
34383,24.90
41977,9.99
208187,20.00
69490,36.19
155802,1.98
85995,0.45
264475,23.67
249069,58.50
113033,5.99
167312,27.00
75048,1.98
244983,0.89
268626,4.49
267918,0.76
211896,0.89
84952,22.50
156723,10.00
152581,22.99
98388,15.00
119057,4.49
28116,0.89
11164,34.99
113082,226.51
119235,79.49
6435,3.80
137506,12.00
52282,118.40
138056,65.45
101795,0.99
198722,1.98
47024,704.15
114527,327.47
133307,74.99
236615,18.50
132247,427.50
122286,117.80
185217,16.76
255794,105.50
57309,29.00
6988,21.10
216561,28.94
105688,1.79
211162,16.00
200891,31.99
275188,296.44
225947,20.39
259208,25.00
270984,0.89
15734,44.95
61426,12.00
56645,169.00
179453,2.97
232023,7.99
65997,116.24
255362,20.00
204077,240.00
236643,59.65
152203,107.00
196958,1.00
191706,2.69
200126,9.29
38658,0.99
121927,39.95
72004,30.00
147953,1.98
109570,2.67
21584,2.69
214121,500.00
27548,420.00
112427,43.90
131148,1.79
156073,18.85
128649,40.00
121518,119.70
100883,60.50
104036,1.29
39909,275.00
202573,6.95
209046,0.89
136095,84.95
88851,150.00
172993,172.90
111656,0.99
181080,77.71
114,47.92
20246,210.06
250262,0.76
22124,804.90
240402,1.00
160187,12.72
232727,419.93
130702,52.71
22962,591.86
236951,1.00
283094,1.00
275905,466.57
205535,11.50
206135,39.95
65424,36.55
136668,13.49
70452,15.88
254166,2.00
5321,5.09
202034,12.93
226435,500.00
144588,9.94
228501,25.00
133620,11.50
225871,55.16
12285,5.55
245572,369.84
147482,39.13
60371,141.35
112857,13.21
98745,74.90
109561,1.79
117850,11.73
42506,1.00
176944,1.18
97530,3.58
144095,39.77
264469,0.85
136669,11.50
250301,19.89
19413,9.99
109772,62.91
260428,133.77
124000,4.95
193962,10.95
142073,1.98
259306,815.48
114434,0.99
37183,361.02
33702,8.08
209402,39.95
193624,70.81
200738,173.04
266108,149.96
102233,159.14
128102,2.28
21587,12.34
285085,1.98
104481,158.65
11369,16.39
132515,1.00
129054,2.18
270980,3.78
168228,28.94
201417,9.99
281138,1069.98
60956,1.29
35080,189.32
69375,1.98
270377,9.99
159706,95.84
93998,12.40
248129,54.20
186668,118.00
53639,48.40
247977,16.00
223236,4.47
174246,90.43
181116,78.90
199647,2.25
85833,27.45
43851,73.34
137695,2.23
154329,207.90
137585,10.00
182354,1.00
139293,19.95
68602,1.29
140570,2.16
195337,11.99
34515,9.99
125026,0.00
219444,35.16
280732,98.23
120882,17.99
81549,37.79
56397,1.98
177632,6.74
103505,77.05
38666,49.12
229452,50.00
77184,6.95
215153,6.47
29119,607.70
241341,20.00
129405,170.24
256631,44.70
154441,85.66
222124,51.00
248797,153.50
156031,17.99
249331,70.00
212696,34.67
281987,206.03
136243,19.99
75800,9.36
91985,45.00
119430,16.00
234295,11.30
190136,69.99
106045,1.00
65115,39.80
252497,24.93
69965,8.94
110913,107.48
101114,9.99
202711,47.90
207706,71.40
54284,15.95
254190,21.94
102826,1.00
47950,0.89
95118,35.31
45114,45.00
14309,1.00
175561,197.53
250504,341.80
220960,15.99
35907,9.99
40669,2.32
245334,9.99
22851,25.00
123308,8.90
171405,877.25
208148,1.29
110649,7.50
20438,8.43
253845,3.70
106057,150.00
124401,2.48
209865,24.90
258100,39.00
241596,21.99
42185,1.85
183335,224.06
83945,514.15
101891,0.89
170197,0.00
58480,108.17
68986,0.00
172353,151.88
95779,26.56
34937,14.10
66028,1.49
98278,0.00
52316,2.68
99953,57.90
158621,30.36
155624,54.99
273750,79.00
100512,9.40
37176,2.00
30023,136.00
266876,2.00
234059,1.00
215093,1.71
192648,1.79
212585,0.79
206026,55.00
118141,20.60
85905,29.99
256418,49.90
238211,0.89
243128,360.00
6454,80.00
220151,54.90
205479,1.00
201898,180.00
115830,74.00
69192,1.00
33211,5.26
259965,26.20
107824,100.00
199998,52.00
53108,83.60
46584,362.00
6386,37.50
263946,73.25
207488,1.00
268791,1.85
48149,7.99
255461,74.99
30889,901.95
252673,3.69
252259,275.00
233051,9.51
258635,192.44
164211,10.80
63314,1.00
248411,28.75
179745,50.00
157342,14.92
99812,4.74
188214,1.98
19815,11.50
45186,6.99
263207,1.00
106546,151.29
225003,196.24
67516,0.89
36710,1.98
262803,19.95
206253,129.18
264199,89.99
194911,42.17
34127,1.29
100557,319.80
201461,15.00
56444,9.11
96517,1780.47
51402,139.00
147517,12.36
72061,70.90
4108,89.99
262743,1.98
23106,112.15
89018,7.55
7907,9.98
75279,90.00
125407,7.16
118880,1.00
242499,188.00
132413,18.98
122420,9.99
203375,25.18
231851,42.81
144724,35.00
272123,22.99
222754,7.92
133684,35.58
126922,4.53
169715,42.97
230422,39.85
257538,68.59
273978,18.14
280118,9.99
33393,14.00
107345,1.00
191221,0.10
56167,30.00
162737,32.98
191863,1.29
96124,264.98
121338,10.00
160125,102.44
64259,3.79
31522,38.31
83089,15.95
167444,1.00
117321,104.05
178357,155.42
39590,34.00
4202,107.81
188853,16.60
43789,108.50
67415,49.40
211021,2.25
260038,10.77
49466,12.90
126619,0.99
106525,6.83
271318,289.96
51411,0.76
80301,92.74
135811,150.00
142679,59.99
218473,3.97
142838,8.38
191739,29.58
75161,4.26
247730,70.84
132612,180.00
56004,18.50
152568,15.21
178061,15.13
165520,12.95
272059,106.77
257329,4.97
167817,12.31
154210,11.42
90967,12.13
278172,193.61
14995,13.65
166034,10.47
7182,1.78
224083,10.62
67610,1.98
102470,1.00
273901,272.54
33151,78.49
80860,1.00
233887,1.98
246868,4.49
51468,197.23
2526,80.00
198226,1.98
133430,104.25
213789,3.99
42819,36.00
36896,187.64
78711,145.20
98707,2.39
134029,240.25
65412,11.00
160828,5.00
252728,16.00
17685,58.00
75948,63.22
112082,30.00
101305,38.00
18598,25.41
263870,180.22
77776,13.92
124057,0.76
34829,196.00
53361,0.00
154062,304.98
279175,15.00
35788,5.99
143013,34.95
120711,14.89
112298,34.99
165306,12.99
121366,56.00
11552,10.00
30763,15.99
9416,0.89
236060,1.98
220771,126.90
149489,592.52
202213,60.00
82854,200.00
63250,0.79
221035,0.00
30877,12.00
223574,15.00
156381,6.00
11560,4.72
16495,29.99
22268,2.00
143750,59.00
187134,176.54
96328,0.00
267387,32.37
228782,18.95
75088,334.90
231758,0.77
42771,29.00
32471,1.00
203998,114.53
101069,70.02
113267,1.00
263716,6.20
124904,8.91
210093,21.99
265923,5.57
186551,50.00
226639,4.91
223836,2.33
184657,45.00
191677,38.99
248206,20.00
37440,262.10
263847,34.99
183439,9.01
238681,4.49
81332,69.99
168882,31.29
277820,2.84
149429,35.84
270700,376.97
193816,5.69
10342,57.29
179121,34.00
159234,1.79
166607,210.04
243963,9.99
124183,40.90
132941,6.00
2168,1.79
7932,3.93
163976,158.00
180284,67.00
199325,15.95
184340,716.15
27817,50.00
160301,233.38
16001,15.13
59195,199.80
192533,218.98
31449,8.99
126024,48.61
3627,5.00
93860,62.89
149016,545.30
193343,8.99
265074,60.00
144612,1.00
98822,410.62
76987,399.00
168740,10.99
254812,29.28
138930,0.89
61637,1.00
249428,110.24
253667,1.46
215062,55.88
53460,4.00
26095,410.50
158028,20.73
284037,1.79
285002,119.00
284427,150.00
21722,200.00
69374,12.00
74279,1.22
184049,44.88
207822,135.00
141655,1.00
42275,71.00
107985,74.95
236046,9.99
167659,15.00
29992,0.99
231704,0.76
114200,45.00
95484,138.00
284523,165.53
99976,1396.00
272488,1.98
42966,12.10
248327,0.89
134819,21.61
177106,120.00
275268,64.00
94901,177.00
168040,6.99
161193,442.80
283562,336.45
49011,79.90
192448,5.00
244289,128.00
208942,56.00
90325,77.50
209056,48.40
184651,27.62
181289,1.00
101729,15.00
204672,55.97
9803,7.69
242551,1.19
236108,20.00
5860,8.99
283772,207.50
83976,5.00
198034,314.83
52763,1.00
87590,104.45
269070,304.92
207449,1.52
87387,200.00
169687,25.00
103737,0.79
54266,3.57
80031,18.18
219826,10.02
15199,64.43
208007,20.00
44848,1.00
119104,6.85
165663,133.00
92873,75.94
178966,1711.50
117032,216.94
179100,6.45
266014,4.56
279316,5.46
79436,39.47
177134,40.00
283991,12.99
120921,4.49
70800,19.99
31459,290.75
234021,241.20
80523,392.00
173018,814.00
174935,3.30
237760,497.94
15678,44.99
175063,1.00
128854,91.00
143974,18.97
205828,54.95
81794,13.81
88783,209.85
278181,22.82
167980,83.71
111975,3.24
115142,8.00
129162,12.11
9864,56.24
40568,36.29
67126,1.00
242585,5.57
211039,30.00
149588,3.69
55083,2.68
157441,34.95
156213,12.28
163793,39.99
175851,18.50
204213,125.35
91752,8.93
79300,3.59
223428,0.99
216850,29.00
55346,102.99
261106,0.76
219701,1.98
52400,26.99
202859,7.70
219649,1.98
218484,12.99
162631,46.82
23013,0.89
197540,102.00
275421,1.00
72477,5.38
203396,5.00
138696,9.62
197982,44.86
201311,90.00
70260,134.00
79746,315.23
256873,163.65
89552,374.00
227925,22.90
231542,15.95
38770,9.99
186788,81.40
144376,24.99
811,13.99
174690,11.85
193888,10.00
184722,139.90
162307,9.00
55218,35.00
274046,213.00
251352,8.24
252759,1.99
103658,1.29
285283,1.29
118002,85.00
179680,15.95
232398,17.72
147585,22.85
247048,33.00
93655,8.99
214714,237.00
22213,42.81
180060,6.30
266572,44.00
220202,3.44
176448,6.99
91679,2.23
1503,0.89
125304,87.90
123669,0.89
238506,187.19
157380,20.00
23649,8.92
144713,14.41
148719,44.40
10664,19.22
164613,89.00
91301,14.40
217346,110.00
249590,632.28
249808,14.59
118663,98.90
35777,131.00
53171,15.96
91239,1.79
266322,18.50
16433,8.99
261563,148.00
153641,63.32
167277,305.00
270355,61.18
48401,49.50
58388,0.77
176031,19.02
224046,6.26
40381,95.90
217295,0.76
271599,15.00
194481,24.99
281323,2.00
127137,104.45
96016,134.00
70123,15.00
173695,1.00
154038,25.00
38036,134.99
258391,18.94
221076,481.46
174725,15.85
102188,154.99
106384,29.99
140354,59.90
154966,1.46
219751,4.49
253311,1.79
252436,114.20
35906,20.00
188670,14.99
247278,0.69
130033,30.23
38327,0.01
176685,4.99
128036,9.99
64920,29.99
244441,15.00
73891,60.42
56358,5.00
254747,72.75
141549,85.45
195653,463.17
3426,462.22
257151,49.83
262770,7.60
75973,0.89
237546,0.89
6122,11.33
237113,40.69
90272,59.00
21014,1.98
179862,319.00
230397,2.36
63846,81.00
254764,200.00
166574,115.00
252752,115.30
141581,7.58
46041,0.69
109773,33.37
110506,562.92
210288,388.95
174533,36.42
20788,30.53
246031,0.47
84943,253.83
120600,8.99
77142,31.10
95181,28.56
138047,1.29
227582,192.50
65259,19.95
174009,2.69
83954,2029.79
135091,32.27
279085,650.00
65429,4.49
47786,171.67
246076,1390.00
228070,11.50
145181,383.50
151024,33.00
263252,7.50
161589,20.00
149012,5.50
197913,65.99
154454,77.39
20677,209.00
195412,131.03
74110,77.17
11943,32.85
200865,152.00
281139,308.00
167689,38.99
24479,715.26
22112,64.81
102735,147.00
166935,8.92
128959,748.80
278417,18.11
98620,0.00
279898,8.99
280367,28.49
276960,39.00
101867,20.30
242124,349.70
89406,368.70
197120,198.00
97003,41.50
203797,50.30
218994,49.50
96118,22.50
142090,17.99
61965,10.00
115570,0.99
282666,6.27
125062,49.45
271462,4.49
211950,1.00
89536,9.70
229180,25.00
253318,378.32
76047,74.91
140538,1.00
41024,194.90
157103,11.27
227563,7.99
227331,1.79
258984,0.89
169136,81.01
33624,8.90
25801,53.98
79287,104.45
165239,0.89
189239,73.00
88209,120.07
135732,100.69
207053,9.99
179150,6.57
245064,15.95
175058,0.01
52508,595.48
63050,2.07
138188,85.40
142921,543.99
26437,11.99
231375,8.99
45872,74.99
218675,29.99
53343,1432.00
78963,19.99
157929,4.22
12093,50.00
130322,10.70
106365,46.00
221511,565.02
37386,54.99
273125,29.00
16101,43.88
262150,1.98
237471,1.98
130920,377.01
15421,195.00
86979,1.78
189948,38.50
124212,9.92
278029,1.00
229133,10.98
141044,1.79
263407,46.95
93017,17.99
13044,1.98
141070,2.58
280812,99.09
43854,34.95
89943,120.77
197599,2.00
85295,116.00
248241,19.07
238777,5.95
200909,39.00
16801,17.45
6265,13.99
181742,22.72
159535,35.40
234170,30.27
164933,3.27
59632,1.79
147171,1.98
64634,171.35
115006,44.99
8331,13.40
40407,7.41
74695,12.52
9794,0.68
212868,62.44
157341,29.51
23608,0.77
67422,0.99
88647,122.30
263590,8.40
134065,39.90
25028,10.00
262374,37.60
3176,20.00
282415,93.00
135543,30.98
156222,64.85
178710,114.00
258695,18.88
280524,1.46
238037,49.99
138144,4.16
172472,209.00
28651,14.00
134538,248.00
1969,1.98
6684,103.49
55065,8.99
181317,59.71
123279,69.98
229177,24.95
212482,49.90
156400,189.00
216043,224.01
26312,1.29
273016,39.99
103094,12.77
221509,210.00
199916,27.96
220586,42.73
220484,122.00
160371,3.79
132437,0.76
162216,1.99
18192,378.39
36818,111.15
75648,121.27
284197,77.00
247298,95.98
186255,35.61
29498,131.33
231733,2.28
124815,20.40
195649,9.00
98239,11.71
177849,1.00
68803,4.49
109616,173.40
74747,5.90
80938,11.85
14888,42.81
72213,1.78
275321,1.89
17599,587.35
11349,117.00
141510,4.38
244311,7.94
84961,89.99
160072,1.00
41081,24.33
722,35.69
283750,1.18
105503,14.99
56281,182.06
79064,240.00
193061,1.18
216762,80.00
61967,1.00
105463,9.99
44842,0.01
224372,19.09
200964,176.75
157258,7.59
59560,105.28
248332,78.12
8113,149.40
145939,1.29
193466,9.60
8564,9.99
223373,10.07
11163,11.50
132406,39.95
239595,56.00
277252,113.20
231129,45.90
202342,0.89
205580,9.99
831,9.99
161221,2.00
155258,289.85
223823,89.76
76881,17.94
7513,32.13
242634,160.00
211867,119.77
239389,7.49
64228,1.79
18825,45.63
192691,6.00
202153,1043.32
139663,260.55
194272,27.90
280944,17.09
135422,18.55
97978,0.76
263481,52.35
192585,0.99
132042,15.00
131555,14.07
30795,137.60
235063,7.63
256442,0.00
191608,85.00
49934,12.99
274471,38.27
153493,99.00
77562,1.00
7441,36.82
211612,15.95
279889,620.20
115976,41.88
94079,44.03
185570,109.00
19953,500.00
133405,45.00
72752,64.00
116514,2.00
235263,441.06
87688,20.00
194930,64.90
83529,18.90
46222,126.40
31732,1.00
61990,38.54
192181,1.98
48276,31.35
78735,15.95
175748,39.90
197524,1.00
216846,57.00
229039,19.80
211626,211.63
215653,7.68
178451,71.38
110734,7.07
89904,2.39
150363,34.52
79338,473.42
92263,7.99
207753,8.99
222619,200.00
200150,9.99
156847,39.00
49066,24.99
187428,69.00
141884,102.98
204843,25.41
102677,77.77
132558,4.99
182837,13.99
103392,26.51
216163,1.00
272689,874.75
138580,154.50
148434,4.49
128021,1.00
219398,131.19
237737,246.54
139706,22.75
48928,1.00
251897,45.70
122088,2.68
171782,301.27
204869,49.95
148324,3.96
282683,191.29
118926,185.00
233799,666.00
281664,11.34
136807,149.00
239291,96.80
174890,70.00
262910,36.00
190985,687.02
228964,229.00
23953,75.10
249209,6.00
29217,28.80
37184,1.00
111204,7.23
115681,1.00
81087,39.95
268647,502.45
113725,9.99
139327,9.99
30035,11.50
52784,272.40
58572,37.97
164570,7.68
83497,31.01
236249,38.00
246407,255.00
275030,154.00
149706,33.82
232203,61.16
28645,82.00
73214,240.00
87706,2499.90
150723,46.30
85205,58.85
189284,130.54
29514,84.74
34699,1.99
62025,5.00
191186,44.24
138970,9.99
252438,1.00
279325,1.98
195332,35.71
121414,200.00
214738,32.57
196167,46.00
218148,3.48
258952,11.50
28835,26.99
16065,1.99
185636,467.00
108002,149.28
157246,66.97
135637,15.37
186603,250.50
282215,24.00
35445,52.73
135057,226.10
179611,596.77
92237,15.00
108052,3.96
34962,0.76
